xcoord,ycoord,HABITAT,Value
552682.1517,1481398.265,1,1
552682.1517,1480818.265,1,1
553262.1517,1481978.265,1,1
553262.1517,1481398.265,1,1
553262.1517,1480818.265,1,1
553262.1517,1480238.265,1,1
553262.1517,1479078.265,1,1
553842.1517,1481978.265,1,1
553842.1517,1481398.265,1,1
553842.1517,1480818.265,1,1
553842.1517,1480238.265,1,1
553842.1517,1479658.265,1,1
554422.1517,1483718.265,1,1
554422.1517,1481398.265,1,1
554422.1517,1480818.265,1,1
554422.1517,1480238.265,1,1
554422.1517,1479658.265,1,1
555002.1517,1484878.265,1,1
555002.1517,1484298.265,1,1
555002.1517,1483718.265,1,1
555002.1517,1483138.265,1,1
555002.1517,1482558.265,1,1
555002.1517,1481978.265,1,1
555002.1517,1481398.265,1,1
555002.1517,1480818.265,1,1
555002.1517,1480238.265,1,1
555002.1517,1479658.265,1,1
555002.1517,1479078.265,1,1
555582.1517,1485458.265,1,1
555582.1517,1484878.265,1,1
555582.1517,1484298.265,1,1
555582.1517,1483718.265,1,1
555582.1517,1483138.265,1,1
555582.1517,1482558.265,1,1
555582.1517,1481978.265,1,1
555582.1517,1481398.265,1,1
555582.1517,1480818.265,1,1
555582.1517,1480238.265,1,1
555582.1517,1479658.265,1,1
555582.1517,1479078.265,1,1
556162.1517,1485458.265,1,1
556162.1517,1484878.265,1,1
556162.1517,1484298.265,1,1
556162.1517,1483718.265,1,1
556162.1517,1483138.265,1,1
556162.1517,1482558.265,1,1
556162.1517,1481978.265,1,1
556162.1517,1481398.265,1,1
556162.1517,1480818.265,1,1
556162.1517,1480238.265,1,1
556162.1517,1479658.265,1,1
556162.1517,1479078.265,1,1
556742.1517,1521998.265,1,1
556742.1517,1521418.265,1,1
556742.1517,1520838.265,1,1
556742.1517,1486618.265,1,1
556742.1517,1486038.265,1,1
556742.1517,1484878.265,1,1
556742.1517,1484298.265,1,1
556742.1517,1483718.265,1,1
556742.1517,1483138.265,1,1
556742.1517,1482558.265,1,1
556742.1517,1481978.265,1,1
556742.1517,1481398.265,1,1
556742.1517,1480818.265,1,1
556742.1517,1480238.265,1,1
557322.1517,1521998.265,1,1
557322.1517,1521418.265,1,1
557322.1517,1520838.265,1,1
557322.1517,1490678.265,1,1
557322.1517,1487198.265,1,1
557322.1517,1486618.265,1,1
557322.1517,1486038.265,1,1
557322.1517,1485458.265,1,1
557322.1517,1484878.265,1,1
557322.1517,1481978.265,1,1
557322.1517,1481398.265,1,1
557322.1517,1480818.265,1,1
557322.1517,1480238.265,1,1
557322.1517,1479658.265,1,1
557322.1517,1479078.265,1,1
557902.1517,1522578.265,1,1
557902.1517,1521998.265,1,1
557902.1517,1521418.265,1,1
557902.1517,1520838.265,1,1
557902.1517,1519098.265,1,1
557902.1517,1518518.265,1,1
557902.1517,1517938.265,1,1
557902.1517,1491838.265,1,1
557902.1517,1491258.265,1,1
557902.1517,1490678.265,1,1
557902.1517,1490098.265,1,1
557902.1517,1489518.265,1,1
557902.1517,1488938.265,1,1
557902.1517,1488358.265,1,1
557902.1517,1487778.265,1,1
557902.1517,1487198.265,1,1
557902.1517,1486618.265,1,1
557902.1517,1486038.265,1,1
557902.1517,1485458.265,1,1
557902.1517,1480238.265,1,1
557902.1517,1479658.265,1,1
557902.1517,1479078.265,1,1
558482.1517,1522578.265,1,1
558482.1517,1521998.265,1,1
558482.1517,1521418.265,1,1
558482.1517,1520838.265,1,1
558482.1517,1519098.265,1,1
558482.1517,1518518.265,1,1
558482.1517,1517938.265,1,1
558482.1517,1492998.265,1,1
558482.1517,1491838.265,1,1
558482.1517,1491258.265,1,1
558482.1517,1490678.265,1,1
558482.1517,1490098.265,1,1
558482.1517,1489518.265,1,1
558482.1517,1488938.265,1,1
558482.1517,1488358.265,1,1
558482.1517,1487778.265,1,1
558482.1517,1487198.265,1,1
558482.1517,1486618.265,1,1
558482.1517,1486038.265,1,1
558482.1517,1480238.265,1,1
558482.1517,1479658.265,1,1
559062.1517,1522578.265,1,1
559062.1517,1521998.265,1,1
559062.1517,1521418.265,1,1
559062.1517,1520838.265,1,1
559062.1517,1518518.265,1,1
559062.1517,1517938.265,1,1
559062.1517,1493578.265,1,1
559062.1517,1492998.265,1,1
559062.1517,1492418.265,1,1
559062.1517,1491838.265,1,1
559062.1517,1491258.265,1,1
559062.1517,1490678.265,1,1
559062.1517,1490098.265,1,1
559062.1517,1489518.265,1,1
559062.1517,1488938.265,1,1
559062.1517,1488358.265,1,1
559062.1517,1487778.265,1,1
559062.1517,1487198.265,1,1
559062.1517,1480238.265,1,1
559062.1517,1479658.265,1,1
559642.1517,1521998.265,1,1
559642.1517,1521418.265,1,1
559642.1517,1520838.265,1,1
559642.1517,1520258.265,1,1
559642.1517,1519678.265,1,1
559642.1517,1519098.265,1,1
