field_1,xcoord,ycoord,PA,Value
1,546592.1517,1489307.381,outside_bhadra,1
2,546592.1517,1488727.381,outside_bhadra,1
3,547172.1517,1489307.381,outside_bhadra,1
4,547172.1517,1488727.381,outside_bhadra,1
5,547172.1517,1488147.381,outside_bhadra,1
6,547752.1517,1489307.381,outside_bhadra,1
7,547752.1517,1488727.381,outside_bhadra,1
8,547752.1517,1488147.381,outside_bhadra,1
9,547752.1517,1487567.381,outside_bhadra,1
10,548332.1517,1493367.381,outside_bhadra,1
11,548332.1517,1491627.381,outside_bhadra,1
12,548332.1517,1489307.381,outside_bhadra,1
13,548332.1517,1488727.381,outside_bhadra,1
14,548332.1517,1488147.381,outside_bhadra,1
15,548332.1517,1487567.381,outside_bhadra,1
16,548332.1517,1486987.381,outside_bhadra,1
17,548332.1517,1486407.381,outside_bhadra,1
18,548912.1517,1495687.381,outside_bhadra,1
19,548912.1517,1495107.381,outside_bhadra,1
20,548912.1517,1494527.381,outside_bhadra,1
21,548912.1517,1493947.381,outside_bhadra,1
22,548912.1517,1491627.381,outside_bhadra,1
23,548912.1517,1491047.381,outside_bhadra,1
24,548912.1517,1490467.381,outside_bhadra,1
25,548912.1517,1489307.381,outside_bhadra,1
26,548912.1517,1488727.381,outside_bhadra,1
27,548912.1517,1488147.381,outside_bhadra,1
28,548912.1517,1487567.381,outside_bhadra,1
29,548912.1517,1486987.381,outside_bhadra,1
30,548912.1517,1486407.381,outside_bhadra,1
31,549492.1517,1496847.381,outside_bhadra,1
32,549492.1517,1496267.381,outside_bhadra,1
33,549492.1517,1495107.381,outside_bhadra,1
34,549492.1517,1494527.381,outside_bhadra,1
35,549492.1517,1493947.381,outside_bhadra,1
36,549492.1517,1493367.381,outside_bhadra,1
37,549492.1517,1492787.381,outside_bhadra,1
38,549492.1517,1491047.381,outside_bhadra,1
39,549492.1517,1490467.381,outside_bhadra,1
40,549492.1517,1489887.381,outside_bhadra,1
41,549492.1517,1489307.381,outside_bhadra,1
42,549492.1517,1488727.381,outside_bhadra,1
43,549492.1517,1488147.381,outside_bhadra,1
44,549492.1517,1487567.381,outside_bhadra,1
45,549492.1517,1486987.381,outside_bhadra,1
46,549492.1517,1486407.381,outside_bhadra,1
47,550072.1517,1498007.381,outside_bhadra,1
48,550072.1517,1497427.381,outside_bhadra,1
49,550072.1517,1496847.381,outside_bhadra,1
50,550072.1517,1494527.381,outside_bhadra,1
51,550072.1517,1493947.381,outside_bhadra,1
52,550072.1517,1493367.381,outside_bhadra,1
53,550072.1517,1492787.381,outside_bhadra,1
54,550072.1517,1492207.381,outside_bhadra,1
55,550072.1517,1489307.381,outside_bhadra,1
56,550072.1517,1488727.381,outside_bhadra,1
57,550072.1517,1488147.381,outside_bhadra,1
58,550652.1517,1498587.381,outside_bhadra,1
59,550652.1517,1493947.381,outside_bhadra,1
60,550652.1517,1493367.381,outside_bhadra,1
61,550652.1517,1492787.381,outside_bhadra,1
62,550652.1517,1492207.381,outside_bhadra,1
63,550652.1517,1491627.381,outside_bhadra,1
64,550652.1517,1491047.381,outside_bhadra,1
65,550652.1517,1490467.381,outside_bhadra,1
66,551232.1517,1498587.381,outside_bhadra,1
67,551232.1517,1497427.381,outside_bhadra,1
68,551232.1517,1493367.381,outside_bhadra,1
69,551812.1517,1497427.381,outside_bhadra,1
70,551812.1517,1496847.381,outside_bhadra,1
71,551812.1517,1495687.381,outside_bhadra,1
72,551812.1517,1493947.381,outside_bhadra,1
73,551812.1517,1491047.381,outside_bhadra,1
74,551812.1517,1490467.381,outside_bhadra,1
75,552392.1517,1518887.381,outside_bhadra,1
76,552392.1517,1517147.381,outside_bhadra,1
77,552392.1517,1516567.381,outside_bhadra,1
78,552392.1517,1515987.381,outside_bhadra,1
79,552392.1517,1515407.381,outside_bhadra,1
80,552392.1517,1514827.381,outside_bhadra,1
81,552392.1517,1514247.381,outside_bhadra,1
82,552392.1517,1513667.381,outside_bhadra,1
83,552392.1517,1495687.381,outside_bhadra,1
84,552392.1517,1495107.381,outside_bhadra,1
85,552392.1517,1494527.381,outside_bhadra,1
86,552392.1517,1493947.381,outside_bhadra,1
87,552392.1517,1491047.381,outside_bhadra,1
88,552392.1517,1490467.381,outside_bhadra,1
89,552392.1517,1481187.381,outside_bhadra,1
90,552392.1517,1479447.381,outside_bhadra,1
91,552392.1517,1478867.381,outside_bhadra,1
92,552392.1517,1478287.381,outside_bhadra,1
93,552392.1517,1476547.381,outside_bhadra,1
94,552972.1517,1521787.381,outside_bhadra,1
95,552972.1517,1518887.381,outside_bhadra,1
96,552972.1517,1516567.381,outside_bhadra,1
97,552972.1517,1515987.381,outside_bhadra,1
98,552972.1517,1515407.381,outside_bhadra,1
99,552972.1517,1514827.381,outside_bhadra,1
100,552972.1517,1514247.381,outside_bhadra,1
101,552972.1517,1513667.381,outside_bhadra,1
102,552972.1517,1513087.381,outside_bhadra,1
103,552972.1517,1512507.381,outside_bhadra,1
104,552972.1517,1511927.381,outside_bhadra,1
105,552972.1517,1511347.381,outside_bhadra,1
